Course Abbr,S/T,Course Title,Cr(US),Cr(ECTS),Start Date,End Date,Days,Time,Enr,Cap,Faculty,Room
CEE 465,1L,Structure and Propertiesof Concrete Materials,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,27,25,Shazim Memon,3.322 -cap:41
CEE 465,1Lb,Structure and Propertiesof Concrete Materials,3.0,6,14-AUG-23,24-NOV-23,W,03:00 PM-05:00 PM,27,25,Shazim Memon,3E.136 -cap:22
CEE 467,1L,Building InformationModelling forGeotechnical Engineering,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,28,25,AlfrendoSatyanaga,3.416 -cap:46
CEE 467,1Lb,Building InformationModelling forGeotechnical Engineering,3.0,6,14-AUG-23,24-NOV-23,R,04:30 PM-05:45 PM,28,25,AlfrendoSatyanaga,3E.217 -cap:28
CHEM 090,1ChLb,Chemistry for Non-Science majors,3.0,6,14-AUG-23,24-NOV-23,F,01:00 PM-03:50 PM,24,24,"Aliya Toleuova,ZhannatAshikbayeva",7.307 -cap:15
CHEM 090,2ChLb,Chemistry for Non-Science majors,3.0,6,14-AUG-23,24-NOV-23,F,09:00 AM-11:50 AM,22,24,"AisuluZhanbossinova,ZhannatAshikbayeva",7.307 -cap:15
CHEM 091,1L,Survey of Physical Science,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,65,72,Timur Atabaev,5.103 -cap:160
CHEM 101,1L,General Chemistry I,3.0,6,14-AUG-23,24-NOV-23,T R,01:30 PM-02:45 PM,70,72,DarkhanUtepbergenov,2.307 -cap:75
CHEM 101,2L,General Chemistry I,3.0,6,14-AUG-23,24-NOV-23,T R,03:00 PM-04:15 PM,68,72,Khalil Amro,2.307 -cap:75
CHEM 101,3L,General Chemistry I,3.0,6,14-AUG-23,24-NOV-23,T R,04:30 PM-05:45 PM,68,72,Roza Oztopcu,2.307 -cap:75
CHEM 101,4L,General Chemistry I,3.0,6,14-AUG-23,24-NOV-23,T R,12:00 PM-01:15 PM,56,72,Khalil Amro,2.307 -cap:75
CHEM 101L,1ChLb,General Chemistry I lab,1.0,2,14-AUG-23,24-NOV-23,W,09:00 AM-11:50 AM,24,24,Aliya Toleuova,9.210 -cap:40
CHEM 101L,2ChLb,General Chemistry I lab,1.0,2,14-AUG-23,24-NOV-23,W,12:00 PM-02:50 PM,23,24,AisuluZhanbossinova,9.210 -cap:40
CHEM 101L,3ChLb,General Chemistry I lab,1.0,2,14-AUG-23,24-NOV-23,F,12:00 PM-02:50 PM,24,24,Roza Oztopcu,9.210 -cap:40
CHEM 101L,4ChLb,General Chemistry I lab,1.0,2,14-AUG-23,24-NOV-23,W,03:00 PM-05:50 PM,24,24,Aliya Toleuova,9.210 -cap:40
CHEM 101L,5ChLb,General Chemistry I lab,1.0,2,14-AUG-23,24-NOV-23,M,12:00 PM-02:50 PM,21,24,AigerimGalyamova,9.210 -cap:40
CHEM 101L,6ChLb,General Chemistry I lab,1.0,2,14-AUG-23,24-NOV-23,M,03:00 PM-05:50 PM,23,24,AisuluZhanbossinova,9.210 -cap:40
CHEM 101L,7ChLb,General Chemistry I lab,1.0,2,14-AUG-23,24-NOV-23,R,02:00 PM-04:50 PM,23,24,Rauan Smail,9.210 -cap:40
CHEM 101L,8ChLb,General Chemistry I lab,1.0,2,14-AUG-23,24-NOV-23,S,09:00 AM-11:50 AM,23,24,Rauan Smail,9.210 -cap:40
CHEM 211,1L,Organic Chemistry I,3.0,6,14-AUG-23,24-NOV-23,T R,10:30 AM-11:45 AM,74,72,DavitHayrapetyan,2.105 -cap:64
CHEM 211L,1Lb,Organic Chemistry I Lab,1.0,2,14-AUG-23,24-NOV-23,M,09:00 AM-11:50 AM,22,24,DavitHayrapetyan,7.307 -cap:15
CHEM 211L,2Lb,Organic Chemistry I Lab,1.0,2,14-AUG-23,24-NOV-23,M,02:00 PM-04:50 PM,24,24,SandugashKalybekkyzy,7.307 -cap:15
CHEM 211L,3Lb,Organic Chemistry I Lab,1.0,2,14-AUG-23,24-NOV-23,W,02:00 PM-04:50 PM,22,24,Rauan Smail,7.307 -cap:15
CHEM 212,1L,Organic Chemistry II,3.0,6,14-AUG-23,24-NOV-23,M W F,10:00 AM-10:50 AM,14,48,IrshadKammakakam,5.103 -cap:160
CHEM 212L,1ChLb,Organic Chemistry II Lab,1.0,2,14-AUG-23,24-NOV-23,T,02:00 PM-04:50 PM,7,24,IrshadKammakakam,7.307 -cap:15
CHEM 220,1L,Quantitative ChemicalAnalysis,3.0,6,14-AUG-23,24-NOV-23,M W F,11:00 AM-11:50 AM,33,24,RostislavBukasov,7.507 -cap:48
CHEM 220L,1ChLb,Quantitative ChemicalAnalysis Lab,1.0,2,14-AUG-23,24-NOV-23,T,10:30 AM-01:20 PM,23,24,Aliya Toleuova,7.307 -cap:15
CHEM 331,1L,Physical Chemistry I,3.0,6,14-AUG-23,24-NOV-23,M W F,09:00 AM-09:50 AM,17,24,Haiyan Fan,7.507 -cap:48
CHEM 331L,1ChLb,Physical Chemistry Lab,1.0,2,14-AUG-23,24-NOV-23,R,03:00 PM-05:50 PM,17,24,Haiyan Fan,7.310 -cap:15
CHEM 341,1L,Biochemistry I,3.0,6,14-AUG-23,24-NOV-23,M W F,01:00 PM-01:50 PM,23,24,DarkhanUtepbergenov,7.507 -cap:48
